scenario,metric,estimate,ci95_low,ci95_high
pre_diagnostic,Recall,0.9172413793103448,0.8843630032771536,0.9479634021279324
pre_diagnostic,Precision,0.36639118457300274,0.33284299732042266,0.3986721059972106
pre_diagnostic,F1,0.5236220472440944,0.4860982510288066,0.5580499419279907
pre_diagnostic,ROC-AUC,0.8642519236249645,0.8421784072564998,0.8856429083413181
pre_diagnostic,PR-AUC,0.6505802308770849,0.5926047013765493,0.7030958538680319
diagnostic_assessment,Recall,0.9482758620689655,0.9214978716876941,0.9717339371920569
diagnostic_assessment,Precision,0.7534246575342466,0.7068795051626728,0.7984138692193373
diagnostic_assessment,F1,0.8396946564885496,0.8080464679453296,0.8675168859711447
diagnostic_assessment,ROC-AUC,0.9829210601310916,0.9747159215921593,0.9897613710328487
diagnostic_assessment,PR-AUC,0.9520877670178544,0.9344452322319415,0.9661698240233896
